building,school,building_condition,learning_environment,capacity,enrollment,wss_office_staff,wss_non-teaching,mitigation_funding,custodial,average_nutrition,utilities,transportation,grounds,maintenance,total_budget,middle_school_attendance_area,option_school,highly_capable_site,region,k_8,preschool,longitude,latitude,zip_code,regular_program,bilingual_served,special_ed._served,male,female,non-binary,total_student_count,p223_k5_count,p223_k5_fte,p223_k8_count,pk8_count,percent_utilization,normalized_building_condition,building_condition_rank,normalized_capacity,capacity_rank,normalized_learning_environment,learning_environment_rank,learning_environment_rev,normalized_total_budget,budget_per_k5_student,budget_per_k8_student,budget_per_pk8_student,nearest_school,distance_to_nearest_school
Adams,Adams,75.28,2.52,480,317,396751,170370,,328816,62985,92249,248571,25732,43016,1368491,Whitman,Neighborhood,Standard,Northwest,K-5,No,-122.392,47.673,98107,244,19,44,161,137,3,301,301,301.0,301,301,66.04166666666667,-0.02840140293053195,39,-0.033022008588998904,53,0.011905731725253643,33,2.48,-0.9372096297873292,4546.481727574751,4546.481727574751,4546.481727574751,Licton Springs,0.3924228525354881
Alki,Alki,100.0,1.0,500,276,396751,170370,,369714,62985,100000,331428,24641,31250,1487140,Madison,Neighborhood,Standard,Southwest,K-5,No,-122.408,47.577,98116,210,11,51,141,127,2,270,270,270.0,270,270,55.2,1.4317705535459009,5,0.11219525809756303,33,-1.5422824944325955,5,4.0,-0.6659891669422425,5507.925925925926,5507.925925925926,5507.925925925926,Genesee Hill,0.9168826997245981
Arbor Heights,Arbor Heights,100.0,1.63,650,482,657982,210704,,566581,62985,121709,662856,25583,75144,2383545,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.378,47.51,98146,374,28,91,243,242,1,486,486,486.0,486,519,74.15384615384616,1.4317705535459009,2,1.2013247582467774,15,-0.8981123743803291,22,3.37,1.3831084149729016,4904.413580246914,4904.413580246914,4592.57225433526,Roxhill,1.595397903317218
B. F. Day,B.F. Day,63.97,3.44,480,413,435556,210704,,551173,62985,157132,579999,25732,35511,2058794,Hamilton,Neighborhood,Standard,Northwest,K-5,Yes,-122.349,47.655,98103,319,30,41,195,186,3,384,384,383.14,385,419,86.04166666666667,-0.6964655140854049,52,-0.033022008588998904,42,0.9525986054523727,61,1.56,0.6407581505003419,5361.442708333333,5347.516883116883,4913.589498806683,John Stanford,1.1717471816863738
Bagley,Bagley,95.29,1.5,503,345,396751,170370,,285841,62985,85443,414285,25732,27257,1468663,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-5,No,-122.342,47.686,98103,212,63,74,178,161,2,341,341,341.0,341,341,68.58846918489066,1.153558178343474,14,0.13397784810054733,32,-1.0310363674069871,17,3.5,-0.708225852392509,4306.9296187683285,4306.9296187683285,4306.9296187683285,Cascadia,0.6373404765888278
Bailey Gatzert,Bailey Gatzert,60.33,3.21,480,339,657982,283935,,346582,62985,102897,414285,26496,68238,1963401,Washington,Neighborhood,Standard,Central,K-5,Yes,-122.316,47.601,98122,183,131,56,180,171,0,351,351,351.0,351,385,70.625,-0.9114746533076629,57,-0.033022008588998904,47,0.717425387020593,52,1.79,0.4226987179540806,5593.735042735043,5593.735042735043,5099.742857142857,Thurgood Marshall,1.0165023376007247
Beacon Hill Int'l,Beacon Hill Int'l,57.49,3.17,398,357,435556,243601,301340,359711,62985,88583,82857,26109,48054,1648798,Mercer,Neighborhood,Standard,Southeast,K-5,No,-122.315,47.585,98144,177,163,47,176,182,2,360,360,360.0,360,360,89.69849246231156,-1.0792290366568968,64,-0.6284128020039028,57,0.6765256968585442,50,1.83,-0.2964541722721566,4579.9944444444445,4579.9944444444445,4579.9944444444445,Thurgood Marshall,0.8127437744103058
Broadview-Thomson,Broadview-Thomson,66.77,3.39,650,433,982252,296716,,350580,62985,214024,414285,26143,110725,2457710,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-8,Yes,-122.354,47.725,98133,243,121,81,198,222,3,423,423,422.5,523,575,66.61538461538463,-0.5310738685298221,49,1.2013247582467774,14,0.9014739927498121,57,1.6099999999999999,1.552642634619977,5810.189125295508,4699.254302103251,4274.278260869565,James Baldwin,1.318059802821275
Bryant Main,Bryant Main,75.41,2.56,532,533,546769,170370,,347568,62985,130794,82857,25732,30754,1397829,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.292,47.672,98115,426,21,35,242,234,6,482,482,476.29,482,482,100.18796992481202,-0.020722505101165863,38,0.3445428847960621,26,0.05280542188730234,36,2.44,-0.8701457191016163,2900.0601659751037,2900.0601659751037,2900.0601659751037,Laurelhurst,0.9496577051502975
Cascadia,Cascadia,98.93,1.31,650,455,435556,210704,,564448,62985,113539,1242856,26426,51599,2708114,Robert Eagle Staff,Neighborhood,Highly Capable,Northwest,K-5,Yes,-122.339,47.695,98115,401,2,47,261,185,3,449,449,449.0,449,483,70.0,1.368567317565732,11,1.2013247582467774,16,-1.2253098956767183,14,3.69,2.125042644550622,6031.43429844098,6031.43429844098,5606.861283643892,Bagley,0.6373404765888278
