Building,School,Building Condition,Learning Environment,Capacity,Enrollment,WSS Office staff,WSS non-teaching,Mitigation funding,Custodial,Average Nutrition,Utilities,Transportation,Grounds,Maintenance,Total Budget,Middle School Attendance Area,Option School,Highly Capable Site,Region,K_8,Preschool,Longitude,Latitude,Zip Code,Regular Program,Bilingual Served,Special Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 K5 Count,P223 K5 FTE,P223 K8 Count,PK8 Count
Adams,Adams,75.28,2.52,480,317,396751,170370,,328816,62985,92249,248571,25732,43016,1368491,Whitman,Neighborhood,Standard,Northwest,K-5,No,-122.392,47.673,98107,244,19,44,161,137,3,301,301,301,301,301
Alki,Alki,100,1,500,276,396751,170370,,369714,62985,100000,331428,24641,31250,1487140,Madison,Neighborhood,Standard,Southwest,K-5,No,-122.408,47.577,98116,210,11,51,141,127,2,270,270,270,270,270
Arbor Heights,Arbor Heights,100,1.63,650,482,657982,210704,,566581,62985,121709,662856,25583,75144,2383545,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.378,47.51,98146,374,28,91,243,242,1,486,486,486,486,519
B. F. Day,B.F. Day,63.97,3.44,480,413,435556,210704,,551173,62985,157132,579999,25732,35511,2058794,Hamilton,Neighborhood,Standard,Northwest,K-5,Yes,-122.349,47.655,98103,319,30,41,195,186,3,384,384,383.14,385,419
Bagley,Bagley,95.29,1.5,503,345,396751,170370,,285841,62985,85443,414285,25732,27257,1468663,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-5,No,-122.342,47.686,98103,212,63,74,178,161,2,341,341,341,341,341
Bailey Gatzert,Bailey Gatzert,60.33,3.21,480,339,657982,283935,,346582,62985,102897,414285,26496,68238,1963401,Washington,Neighborhood,Standard,Central,K-5,Yes,-122.316,47.601,98122,183,131,56,180,171,0,351,351,351,351,385
Beacon Hill Int'l,Beacon Hill Int'l,57.49,3.17,398,357,435556,243601,301340,359711,62985,88583,82857,26109,48054,1648798,Mercer,Neighborhood,Standard,Southeast,K-5,No,-122.315,47.585,98144,177,163,47,176,182,2,360,360,360,360,360
Broadview-Thomson,Broadview-Thomson,66.77,3.39,650,433,982252,296716,,350580,62985,214024,414285,26143,110725,2457710,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-8,Yes,-122.354,47.725,98133,243,121,81,198,222,3,423,423,422.5,523,575
Bryant Main,Bryant Main,75.41,2.56,532,533,546769,170370,,347568,62985,130794,82857,25732,30754,1397829,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.292,47.672,98115,426,21,35,242,234,6,482,482,476.29,482,482
Cascadia,Cascadia,98.93,1.31,650,455,435556,210704,,564448,62985,113539,1242856,26426,51599,2708114,Robert Eagle Staff,Neighborhood,Highly Capable,Northwest,K-5,Yes,-122.339,47.695,98115,401,2,47,261,185,3,449,449,449,449,483
Catharine Blaine,Catharine Blaine,38.83,3.17,523,294,440101,256382,30320,273830,62985,144829,82857,27458,91580,1410342,McClure,Neighborhood,Standard,Central,K-8,No,-122.4,47.643,98199,191,7,42,135,142,3,280,280,235.04,442,442
Cedar Park,Cedar Park,84.66,3.38,154,235,396751,210704,,381025,62985,65687,165714,27851,52657,1363375,Jane Addams,Option,Standard,Northeast,K-5,Yes,-122.288,47.726,98125,184,33,19,116,112,4,232,232,232,232,268
Concord,Concord,78.21,2.23,480,271,396751,170370,150670,418356,62985,111898,165714,24660,49514,1550917,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.325,47.524,98108,113,143,41,141,131,0,272,272,272,272,291
Cooper (Pathfinder),Pathfinder,83.79,2.52,558,304,672371,256382,,220349,62985,174277,1077142,24589,31963,2520058,Madison,Option,Standard,Southwest,K-8,No,-122.358,47.563,98106,236,9,63,142,158,3,303,303,303,452,452
Dearborn Park,Dearborn Park,61.38,3.69,480,317,396751,170370,226005,380366,62985,101842,248571,25287,42765,1654941,Mercer,Neighborhood,Standard,Southeast,K-5,Yes,-122.296,47.552,98108,155,139,32,149,166,1,316,316,316,316,336
Decatur,Decatur,57.25,3.18,236,188,396751,170370,,307580,62985,81764,248571,26560,30954,1325536,Eckstein,Neighborhood,Highly Capable,Northeast,K-5,No,-122.283,47.686,98115,165,1,22,106,82,0,188,188,188,188,188
Dunlap,Dunlap,80.81,2.65,584,226,396751,283935,,403881,62985,119493,165714,25131,40281,1498172,Aki Kurose,Neighborhood,Standard,Southeast,K-5,Yes,-122.275,47.525,98118,103,125,25,126,116,0,242,242,242,242,299
E.C. Hughes (Roxhill),Roxhill,86.95,2.29,480,238,396751,170370,,381478,62985,94361,414285,24303,46462,1590995,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.375,47.533,98126,145,74,49,117,132,1,250,250,249.7,250,289
Emerson,Emerson,85.82,3.25,506,314,507963,243601,,434571,62985,150293,497142,25855,61776,1984188,Aki Kurose,Neighborhood,Standard,Southeast,K-5,Yes,-122.259,47.515,98118,152,132,62,157,171,1,329,329,329,329,349
Fairmount Park,Fairmount Park,86.08,2.46,532,358,435556,210704,,385594,62985,80322,331428,24303,36235,1567128,Madison,Neighborhood,Highly Capable,Southwest,K-5,Yes,-122.38,47.553,98126,281,40,57,190,186,0,376,376,376,376,411
Frantz Coe,Frantz Coe,86.01,1.33,640,467,435556,170370,,399021,62985,130435,165714,25668,57687,1447437,McClure,Neighborhood,Standard,Central,K-5,No,-122.366,47.641,98119,362,29,75,211,246,0,457,457,456.02,457,457
Gatewood,Gatewood,73,3.02,389,385,435556,170370,,357700,62985,90692,165714,25782,74243,1383043,Madison,Neighborhood,Standard,Southwest,K-5,No,-122.388,47.54,98136,307,14,50,191,178,1,370,370,370,370,370
Genesee Hill,Genesee Hill,93.38,1.13,650,480,546769,170370,,535617,62985,135382,248571,25855,28991,1754541,Madison,Neighborhood,Standard,Southwest,K-5,No,-122.397,47.566,98116,381,20,89,251,231,3,485,485,485,485,485
Graham Hill,Graham Hill,58.86,2.52,450,248,396751,170370,,379860,62985,93484,331428,24303,33293,1492474,Aki Kurose,Neighborhood,Standard,Southeast,K-5,No,-122.269,47.546,98118,131,95,47,138,110,1,249,249,249,249,249
Green Lake,Green Lake,48.1,3.13,346,339,435556,210704,,380209,62985,91053,579999,26807,37048,1824362,Eckstein,Neighborhood,Standard,Northwest,K-5,Yes,-122.329,47.676,98103,219,52,69,162,169,4,335,335,334.02,335,340
Greenwood,Greenwood,74.23,2.54,372,343,435556,210704,,376935,62985,96630,165714,25732,40398,1414654,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-5,Yes,-122.36,47.687,98117,252,16,50,155,159,3,317,317,314.85,317,339
Hawthorne,Hawthorne,74.17,3.06,480,392,435556,170370,,393654,62985,85785,248571,25668,56978,1479568,Aki Kurose,Neighborhood,Standard,Southeast,K-5,No,-122.283,47.566,98118,276,55,54,194,176,8,378,378,377.5,378,378
Hazel Wolf,Hazel Wolf,95.84,1.59,650,473,982252,256382,,292102,62985,120657,994285,26804,45431,2780898,Jane Addams,Option,Standard,Northeast,K-8,No,-122.315,47.713,98125,356,61,59,225,238,3,466,466,466,723,723
Highland Park,Highland Park,81.74,1.27,506,266,396751,170370,,401573,62985,136700,248571,26119,60976,1504044,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.348,47.525,98106,159,83,43,142,130,2,274,274,272.11,274,294
James Baldwin,James Baldwin,100,1,650,219,396751,210704,,327261,62985,100000,331428,25732,50000,1504862,Robert Eagle Staff,Neighborhood,Standard,Northwest,K-5,Yes,-122.329,47.716,98125,122,73,46,119,99,0,218,218,218,218,265
John Hay,John Hay,82.67,2.63,480,300,396751,210704,,377026,62985,94449,662856,25668,38080,1868519,McClure,Neighborhood,Standard,Central,K-5,No,-122.352,47.633,98109,169,53,53,149,116,2,267,267,263.36,267,267
John Muir,John Muir,70.32,2.53,480,326,435556,243601,,332754,62985,107526,82857,25668,62491,1353439,Washington,Neighborhood,Standard,Southeast,K-5,Yes,-122.291,47.573,98144,172,107,52,165,143,2,310,310,310,310,330
John Rogers,John Rogers,100,1,500,213,396751,170370,,328027,62985,112997,414285,26447,38962,1550824,Jane Addams,Neighborhood,Standard,Northeast,K-5,No,-122.285,47.707,98125,101,96,35,107,116,1,224,224,224,224,224
John Stanford,John Stanford,70.1,3.44,398,418,435556,170370,150670,363641,62985,99282,165714,25668,92633,1566521,Hamilton,Option,Standard,Northwest,K-5,No,-122.324,47.657,98105,336,50,37,193,224,1,418,418,418,418,418
Kimball,Kimball,100,1,650,395,657982,283935,,561540,62985,6514,579999,25668,658,2179281,Washington,Neighborhood,Standard,Southeast,K-5,Yes,-122.303,47.574,98144,215,107,80,182,191,5,378,378,378,378,419
Lafayette,Lafayette,63.68,3.56,480,500,657982,210704,,399133,62985,117123,497142,24303,43271,2012643,Madison,Neighborhood,Standard,Southwest,K-5,Yes,-122.387,47.58,98116,401,33,72,239,254,6,499,499,499,499,523
Laurelhurst,Laurelhurst,64.33,3.75,320,297,396751,170370,,384991,62985,108306,331428,27149,41181,1523161,Eckstein,Neighborhood,Standard,Northeast,K-5,No,-122.278,47.662,98105,183,42,53,142,124,3,269,269,268.04,269,269
Lawton,Lawton,62.19,2.79,480,343,435556,170370,,380612,62985,87236,248571,26102,26621,1438054,McClure,Neighborhood,Standard,Central,K-5,No,-122.39,47.657,98199,268,23,42,157,175,0,332,332,331.02,332,332
Leschi,Leschi,71.27,3.04,532,283,396751,210704,,390702,62985,86773,331428,26082,46710,1552136,Meany,Neighborhood,Standard,Central,K-5,Yes,-122.292,47.602,98122,181,36,56,130,131,3,264,264,264,264,302
